Date,GLD,TLT,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-02,163.1699981689453,82.29936218261719,22.54460334777832,10.742974281311035,30.544307708740234,12.585066795349121,25.243377685546875,11.496894836425781,32.7633171081543,20.821712493896484
2013-01-03,161.1999969482422,81.1843032836914,22.53843116760254,10.730239868164062,30.56004524230957,12.504857063293457,25.1799259185791,11.496894836425781,32.8035888671875,20.873294830322266
2013-01-04,160.44000244140625,81.50090789794922,22.7885799407959,10.857596397399902,30.788278579711914,12.454194068908691,25.250431060791016,11.555094718933105,32.94860076904297,20.950685501098633
2013-01-07,159.42999267578125,81.53533172607422,22.61254119873047,10.832122802734375,30.65449333190918,12.43730640411377,25.081193923950195,11.441930770874023,33.05333709716797,20.899093627929688
2013-01-08,160.55999755859375,82.07225799560547,22.53843116760254,10.800287246704102,30.418380737304688,12.39086627960205,25.010692596435547,11.406367301940918,33.0614013671875,20.838905334472656
2013-01-09,160.49000549316406,81.99655151367188,22.501367568969727,10.787549018859863,30.725324630737305,12.411975860595703,25.067094802856445,11.3837308883667,33.42390823364258,20.873294830322266
2013-01-10,161.97999572753906,81.7693862915039,22.705190658569336,10.921279907226562,30.874862670898438,12.475302696228027,25.21516990661621,11.432231903076172,33.65752029418945,20.993675231933594
2013-01-11,161.05999755859375,82.4990005493164,22.73299217224121,10.895808219909668,30.764677047729492,12.49219036102295,25.327987670898438,11.44516372680664,33.649478912353516,21.010875701904297
2013-01-14,161.5399932861328,82.27186584472656,22.736074447631836,10.863969802856445,30.882722854614258,12.411975860595703,25.405559539794922,11.422532081604004,33.68168640136719,21.062469482421875
2013-01-15,162.55999755859375,82.65046691894531,22.837997436523438,10.908547401428223,30.96930503845215,12.331765174865723,25.483123779296875,11.454865455627441,33.64141845703125,21.217248916625977
2013-01-16,162.64999389648438,82.82255554199219,22.93990135192871,10.914911270141602,30.84336280822754,12.373979568481445,25.447866439819336,11.399901390075684,33.568912506103516,21.169950485229492
2013-01-17,163.35000610351562,81.99655151367188,23.085060119628906,10.908547401428223,31.173917770385742,12.424640655517578,25.617090225219727,11.44516372680664,33.866981506347656,21.39351463317871
