Strategy,Sharpe,Calmar,MDD,CAGR,Turnover
MVO,0.7079259234010035,0.46978885853470004,-0.267618897269959,0.12533428224573867,0.23540427364433886
MIN_VAR,0.7332587969479617,0.40357660668004747,-0.26193800201190626,0.10571007368248449,0.0778242497798574
RISK_PAR,0.7568975187952454,0.38541418486421053,-0.2966569453282514,0.11433190135922036,0.010728009997868942
EXP_GRAD,0.7519079237112094,0.3851153511394205,-0.2953302007598034,0.11372936436347413,0.003276611536693601
ADA_GRAD,0.7513870328776739,0.3838991622311853,-0.295072894292953,0.11327145450774026,0.0010752035069621557
PAMR,0.7360077845561795,0.36219999997601987,-0.3090606244254591,0.11192332987204708,0.021172979123321074
